precision,recall,threshold
0.942288753200709,0.9955604883462819,0.4948294
0.942284963887065,0.9954911209766926,0.49494404
0.9423468382690918,0.9954911209766926,0.49629593
0.9423430522721303,0.9954217536071032,0.49679783
0.9424049385959151,0.9954217536071032,0.4971608
0.9424011559175095,0.9953523862375139,0.49743524
0.9424630541871921,0.9953523862375139,0.49937806
0.942459274829217,0.9952830188679245,0.50080335
0.9424554949747094,0.9952136514983352,0.5012506
0.9424517146235711,0.9951442841287459,0.50128716
0.9425136324814402,0.9951442841287459,0.5040614
0.9425755584756899,0.9951442841287459,0.5041893
0.9426374926079243,0.9951442841287459,0.50492704
0.9426994348797477,0.9951442841287459,0.5053502
0.9427613852927647,0.9951442841287459,0.5064861
0.9427576235541535,0.9950749167591565,0.5086153
0.9427538613210648,0.9950055493895672,0.51038826
